letter,average
a,0.14
b,0.03
c,0.05
d,0.07
e,0.14
f,0.03
g,0.03
h,0.03
i,0.07
j,0.02
k,0.03
l,0.07
m,0.05
n,0.08
o,0.11
p,0.04
q,0.03
r,0.09
s,0.09
t,0.06
u,0.06
v,0.03
w,0.03
x,0.02
y,0.03
z,0.03
