letter,average
a,0.09
b,0.06
c,0.07
d,0.05
e,0.13
f,0.04
g,0.05
h,0.04
i,0.07
j,0.05
k,0.02
l,0.07
m,0.05
n,0.07
o,0.1
p,0.06
q,0.01
r,0.11
s,0.1
t,0.11
u,0.08
v,0.02
w,0.02
x,0
y,0.05
z,0.01
